transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
505,06-11-1993,07:25:00,86,Male,24,Beauty,1,50,19.5,50
1475,10-07-1993,07:03:00,132,Male,26,Clothing,3,25,10.75,75
1505,13-03-1993,08:00:00,98,Male,24,Beauty,1,50,14.5,50
344,14-11-1992,09:47:00,69,Female,42,Beauty,1,30,7.5,30
448,18-07-1992,09:36:00,86,Female,54,Beauty,2,30,16.2,60
742,21-03-1992,06:08:00,37,Female,38,Electronics,4,500,195,2000
1344,23-11-1991,06:12:00,144,Female,42,Beauty,1,30,11.1,30
1448,27-07-1991,06:28:00,51,Female,54,Beauty,2,30,9.3,60
1742,30-03-1991,08:25:00,18,Female,38,Electronics,4,500,220,2000
445,01-12-1990,10:48:00,132,Female,53,Electronics,1,300,138,300
787,04-08-1990,10:42:00,25,Male,41,Electronics,1,25,13.75,25
1445,07-04-1990,06:16:00,31,Female,53,Electronics,1,300,129,300
1787,09-12-1989,07:42:00,104,Male,41,Electronics,1,25,10,25
49,12-08-1989,10:33:00,37,Female,54,Electronics,2,500,255,1000
420,15-04-1989,10:53:00,28,Female,22,Clothing,4,500,200,2000
519,17-12-1988,10:17:00,52,Female,36,Electronics,4,30,16.5,120
1049,20-08-1988,06:36:00,143,Female,54,Electronics,2,500,125,1000
1420,23-04-1988,07:01:00,138,Female,22,Clothing,4,500,205,2000
1519,26-12-1987,07:35:00,139,Female,36,Electronics,4,30,9.3,120
64,29-08-1987,06:34:00,7,Male,49,Clothing,4,25,8.5,100
592,02-05-1987,09:15:00,77,Female,46,Beauty,4,500,275,2000
912,03-01-1987,06:18:00,122,Male,51,Beauty,3,50,20.5,150
1064,06-09-1986,10:38:00,49,Male,49,Clothing,4,25,13.75,100
1592,10-05-1986,09:08:00,81,Female,46,Beauty,4,500,155,2000
1912,11-01-1986,07:40:00,146,Male,51,Beauty,3,50,22,150
134,14-09-1985,09:03:00,132,Male,49,Electronics,1,50,16,50
1134,18-05-1985,09:04:00,106,Male,49,Electronics,1,50,24,50
288,19-01-1985,09:59:00,27,Male,28,Clothing,4,30,12,120
323,22-09-1984,08:22:00,97,Female,29,Beauty,3,300,150,900
618,26-05-1984,10:22:00,5,Female,27,Beauty,1,50,26,50
720,28-01-1984,08:50:00,116,Female,56,Beauty,3,500,235,1500
1288,01-10-1983,11:56:00,26,Male,28,Clothing,4,30,9,120
1323,04-06-1983,10:49:00,136,Female,29,Beauty,3,300,114,900
1618,05-02-1983,06:27:00,118,Female,27,Beauty,1,50,13.5,50
1720,09-10-1982,08:51:00,28,Female,56,Beauty,3,500,190,1500
415,12-06-1982,09:59:00,85,Male,53,Clothing,2,30,8.1,60
736,13-02-1982,08:30:00,97,Male,29,Clothing,4,25,9.75,100
929,17-10-1981,10:18:00,40,Female,23,Beauty,3,25,10.5,75
1415,20-06-1981,07:11:00,146,Male,53,Clothing,2,30,15.3,60
1736,21-02-1981,08:57:00,87,Male,29,Clothing,4,25,10.25,100
1929,25-10-1980,06:50:00,62,Female,23,Beauty,3,25,12.75,75
264,28-06-1980,11:03:00,111,Male,47,Clothing,3,300,150,900
913,01-03-1980,10:52:00,78,Male,29,Electronics,3,30,16.5,90
940,03-11-1979,08:11:00,46,Female,20,Electronics,1,30,9.6,30
1264,07-07-1979,09:23:00,82,Male,47,Clothing,3,300,123,900
1913,10-03-1979,07:10:00,101,Male,29,Electronics,3,30,14.1,90
1940,11-11-1978,09:47:00,56,Female,20,Electronics,1,30,11.1,30
101,15-07-1978,08:46:00,24,Male,32,Clothing,2,300,135,600
1101,18-03-1978,07:47:00,15,Male,32,Clothing,2,300,132,600
189,19-11-1977,09:44:00,143,Male,63,Beauty,1,50,14.5,50
317,23-07-1977,07:54:00,117,Male,22,Electronics,3,30,12,90
322,26-03-1977,06:11:00,13,Male,51,Electronics,1,500,125,500
329,27-11-1976,07:42:00,52,Female,46,Electronics,4,25,8,100
1189,31-07-1976,06:08:00,104,Male,63,Beauty,1,50,20.5,50
1317,03-04-1976,08:02:00,144,Male,22,Electronics,3,30,12,90
1322,06-12-1975,09:56:00,10,Male,51,Electronics,1,500,250,500
1329,09-08-1975,10:39:00,119,Female,46,Electronics,4,25,9.25,100
235,12-04-1975,10:13:00,132,Female,23,Electronics,2,500,275,1000
300,14-12-1974,09:41:00,138,Female,19,Electronics,4,50,26.5,200
964,17-08-1974,08:18:00,15,Male,24,Clothing,3,300,156,900
1235,20-04-1974,06:44:00,87,Female,23,Electronics,2,500,220,1000
1300,22-12-1973,08:57:00,7,Female,19,Electronics,4,50,24,200
1964,25-08-1973,08:27:00,115,Male,24,Clothing,3,300,111,900
269,28-04-1973,11:31:00,87,Male,25,Clothing,4,500,250,2000
320,30-12-1972,08:35:00,57,Female,28,Electronics,4,300,159,1200
673,02-09-1972,10:14:00,18,Female,43,Clothing,3,500,270,1500
1269,06-05-1972,08:09:00,71,Male,25,Clothing,4,500,145,2000
1320,08-01-1972,11:55:00,102,Female,28,Electronics,4,300,84,1200
1673,11-09-1971,07:36:00,42,Female,43,Clothing,3,500,185,1500
142,15-05-1971,10:05:00,61,Male,35,Electronics,4,300,138,1200
223,16-01-1971,11:18:00,61,Female,64,Clothing,1,25,12,25
666,19-09-1970,10:59:00,49,Male,51,Electronics,3,50,16,150
1142,23-05-1970,09:49:00,2,Male,35,Electronics,4,300,114,1200
1223,24-01-1970,07:40:00,106,Female,64,Clothing,1,25,9.75,25
1666,27-09-1969,10:10:00,125,Male,51,Electronics,3,50,21,150
107,31-05-1969,09:18:00,75,Female,21,Clothing,4,300,78,1200
933,01-02-1969,07:53:00,81,Male,22,Beauty,1,30,12.9,30
1107,05-10-1968,11:14:00,62,Female,21,Clothing,4,300,102,1200
1933,08-06-1968,11:04:00,121,Male,22,Beauty,1,30,14.4,30
237,10-02-1968,08:54:00,105,Female,50,Beauty,2,500,165,1000
335,14-10-1967,09:23:00,2,Female,47,Beauty,4,30,10.8,120
1237,17-06-1967,09:20:00,48,Female,50,Beauty,2,500,215,1000
1335,18-02-1967,08:45:00,117,Female,47,Beauty,4,30,8.7,120
63,22-10-1966,11:49:00,127,Male,57,Electronics,2,25,6.25,50
195,25-06-1966,11:51:00,10,Male,52,Clothing,1,30,9.3,30
333,26-02-1966,08:15:00,21,Female,54,Electronics,4,300,99,1200
379,30-10-1965,07:28:00,76,Female,47,Clothing,1,25,8.5,25
490,03-07-1965,06:07:00,43,Male,34,Clothing,3,50,18.5,150
530,06-03-1965,07:52:00,8,Female,18,Electronics,4,30,9,120
740,07-11-1964,06:58:00,33,Female,25,Beauty,4,50,13,200
793,11-07-1964,10:53:00,1,Male,54,Beauty,1,30,14.7,30
1063,14-03-1964,10:26:00,56,Male,57,Electronics,2,25,11,50
1195,16-11-1963,07:07:00,55,Male,52,Clothing,1,30,12,30
1333,20-07-1963,11:38:00,151,Female,54,Electronics,4,300,165,1200
1379,23-03-1963,06:23:00,69,Female,47,Clothing,1,25,7.25,25
1490,24-11-1962,07:15:00,155,Male,34,Clothing,3,50,17,150
1530,28-07-1962,08:17:00,93,Female,18,Electronics,4,30,12.3,120
1740,31-03-1962,06:01:00,66,Female,25,Beauty,4,50,27,200
1793,02-12-1961,06:05:00,88,Male,54,Beauty,1,30,10.8,30
85,05-08-1961,08:05:00,68,Male,31,Clothing,3,50,19,150
232,08-04-1961,07:14:00,150,Female,43,Beauty,1,25,12.75,25
240,10-12-1960,11:49:00,95,Female,23,Beauty,1,300,123,300
993,13-08-1960,09:21:00,134,Female,48,Electronics,3,50,17,150
1085,16-04-1960,09:29:00,76,Male,31,Clothing,3,50,17,150
1232,19-12-1959,08:05:00,146,Female,43,Beauty,1,25,6.25,25
1240,22-08-1959,07:42:00,144,Female,23,Beauty,1,300,90,300
1993,25-04-1959,11:53:00,123,Female,48,Electronics,3,50,26.5,150
366,27-12-1958,09:32:00,116,Male,57,Clothing,2,50,17.5,100
372,30-08-1958,11:45:00,27,Female,24,Beauty,3,500,140,1500
596,03-05-1958,08:44:00,87,Female,64,Electronics,1,300,93,300
936,04-01-1958,10:51:00,143,Male,57,Beauty,4,50,19.5,200
1366,07-09-1957,11:34:00,25,Male,57,Clothing,2,50,23.5,100
1372,11-05-1957,10:53:00,60,Female,24,Beauty,3,500,145,1500
1596,12-01-1957,06:22:00,7,Female,64,Electronics,1,300,141,300
1936,15-09-1956,11:32:00,60,Male,57,Beauty,4,50,12.5,200
284,19-05-1956,09:17:00,129,Male,43,Clothing,4,50,20.5,200
434,21-01-1956,06:09:00,50,Female,43,Electronics,2,25,8.25,50
775,24-09-1955,11:07:00,98,Female,46,Electronics,4,25,9.5,100
977,28-05-1955,08:35:00,46,Female,35,Electronics,3,25,13.75,75
1284,29-01-1955,11:43:00,145,Male,43,Clothing,4,50,18,200
1434,02-10-1954,10:02:00,147,Female,43,Electronics,2,25,7,50
1775,05-06-1954,08:04:00,78,Female,46,Electronics,4,25,13.75,100
1977,06-02-1954,10:46:00,63,Female,35,Electronics,3,25,12,75
649,10-10-1953,08:17:00,44,Female,58,Clothing,2,300,135,600
1649,13-06-1953,07:44:00,72,Female,58,Clothing,2,300,75,600
54,14-02-1953,10:17:00,142,Female,38,Electronics,3,500,200,1500
68,18-10-1952,09:06:00,146,Male,25,Electronics,1,300,84,300
192,21-06-1952,08:05:00,134,Male,62,Beauty,2,50,13,100
1054,23-02-1952,09:24:00,49,Female,38,Electronics,3,500,140,1500
1068,27-10-1951,10:11:00,136,Male,25,Electronics,1,300,111,300
1192,30-06-1951,08:41:00,37,Male,62,Beauty,2,50,20.5,100
331,03-03-1951,08:33:00,28,Male,28,Electronics,3,30,10.2,90
346,04-11-1950,06:54:00,38,Male,59,Clothing,2,500,215,1000
657,08-07-1950,08:53:00,46,Male,40,Clothing,1,25,8,25
732,11-03-1950,08:45:00,136,Male,61,Electronics,2,500,250,1000
972,12-11-1949,11:42:00,139,Male,49,Beauty,4,25,6.75,100
1331,16-07-1949,09:29:00,36,Male,28,Electronics,3,30,13.8,90
1346,19-03-1949,10:01:00,112,Male,59,Clothing,2,500,130,1000
1657,20-11-1948,10:05:00,61,Male,40,Clothing,1,25,8,25
1732,24-07-1948,07:05:00,55,Male,61,Electronics,2,500,215,1000
1972,27-03-1948,06:39:00,5,Male,49,Beauty,4,25,9.25,100
714,29-11-1947,08:50:00,20,Female,18,Clothing,1,500,190,500
1714,02-08-1947,06:07:00,111,Female,18,Clothing,1,500,245,500
193,05-04-1947,10:40:00,55,Male,35,Beauty,3,500,180,1500
577,07-12-1946,11:55:00,45,Male,21,Beauty,4,500,215,2000
848,10-08-1946,10:46:00,15,Female,63,Clothing,3,25,9.75,75
945,13-04-1946,10:01:00,120,Male,30,Beauty,1,25,13.25,25
1193,15-12-1945,11:31:00,50,Male,35,Beauty,3,500,145,1500
1577,18-08-1945,06:22:00,145,Male,21,Beauty,4,500,160,2000
1848,21-04-1945,10:16:00,63,Female,63,Clothing,3,25,12.5,75
1945,23-12-1944,09:55:00,33,Male,30,Beauty,1,25,10.75,25
11,26-08-1944,10:30:00,151,Male,23,Clothing,2,50,23.5,100
821,29-04-1944,11:27:00,40,Male,49,Electronics,1,300,129,300
1011,01-01-1944,06:48:00,15,Male,23,Clothing,2,50,19,100
1821,04-09-1943,07:17:00,42,Male,49,Electronics,1,300,108,300
133,08-05-1943,09:01:00,70,Male,20,Electronics,3,300,87,900
1133,09-01-1943,06:42:00,58,Male,20,Electronics,3,300,159,900
16,12-09-1942,10:33:00,82,Male,19,Clothing,3,500,180,1500
42,16-05-1942,08:29:00,63,Male,22,Clothing,3,300,147,900
292,17-01-1942,06:33:00,111,Male,20,Beauty,4,300,141,1200
416,20-09-1941,09:29:00,55,Male,53,Electronics,4,500,245,2000
584,24-05-1941,10:21:00,106,Female,27,Beauty,4,50,16.5,200
861,25-01-1941,08:57:00,22,Female,41,Clothing,3,30,9.6,90
1016,28-09-1940,07:39:00,52,Male,19,Clothing,3,500,200,1500
1042,01-06-1940,06:21:00,7,Male,22,Clothing,3,300,150,900
1292,03-02-1940,08:20:00,88,Male,20,Beauty,4,300,90,1200
1416,07-10-1939,10:47:00,111,Male,53,Electronics,4,500,125,2000
1584,10-06-1939,11:07:00,62,Female,27,Beauty,4,50,16.5,200
1861,11-02-1939,10:41:00,145,Female,41,Clothing,3,30,10.2,90
256,15-10-1938,08:05:00,3,Male,23,Clothing,2,500,270,1000
1256,18-06-1938,09:58:00,29,Male,23,Clothing,2,500,190,1000
44,19-02-1938,11:07:00,93,Female,22,Clothing,1,25,11.75,25
257,23-10-1937,08:49:00,130,Male,19,Beauty,4,500,165,2000
1044,26-06-1937,09:08:00,70,Female,22,Clothing,1,25,7.5,25
1257,27-02-1937,11:55:00,29,Male,19,Beauty,4,500,255,2000
268,31-10-1936,08:26:00,93,Female,28,Electronics,1,30,8.7,30
287,04-07-1936,11:07:00,88,Male,54,Clothing,4,25,10,100
966,07-03-1936,07:22:00,119,Male,60,Electronics,2,500,190,1000
1268,09-11-1935,09:33:00,15,Female,28,Electronics,1,30,14.1,30
1287,13-07-1935,08:03:00,120,Male,54,Clothing,4,25,7,100
1966,16-03-1935,09:52:00,74,Male,60,Electronics,2,500,200,1000
70,17-11-1934,10:48:00,147,Female,43,Clothing,1,300,84,300
371,21-07-1934,10:01:00,32,Female,20,Beauty,1,25,13,25
900,24-03-1934,08:41:00,130,Male,21,Clothing,2,30,15.6,60
1070,25-11-1933,11:12:00,102,Female,43,Clothing,1,300,120,300
1371,29-07-1933,06:52:00,41,Female,20,Beauty,1,25,13.5,25
1900,01-04-1933,06:43:00,65,Male,21,Clothing,2,30,10.8,60
8,03-12-1932,11:19:00,148,Male,30,Electronics,4,25,11,100
41,06-08-1932,10:36:00,88,Male,34,Clothing,2,25,13.25,50
454,09-04-1932,07:20:00,13,Female,46,Beauty,1,25,13,25
780,12-12-1931,11:30:00,107,Male,52,Electronics,2,25,13.25,50
920,15-08-1931,10:25:00,99,Female,28,Beauty,3,25,6.75,75
1008,18-04-1931,08:51:00,116,Male,30,Electronics,4,25,13,100
1041,20-12-1930,07:27:00,74,Male,34,Clothing,2,25,11,50
1454,23-08-1930,11:18:00,22,Female,46,Beauty,1,25,6.75,25
1780,26-04-1930,10:00:00,32,Male,52,Electronics,2,25,10.5,50
1920,28-12-1929,08:33:00,23,Female,28,Beauty,3,25,9.25,75
396,31-08-1929,07:11:00,29,Female,55,Beauty,1,30,10.8,30
1396,04-05-1929,06:23:00,9,Female,55,Beauty,1,30,8.4,30
168,05-01-1929,09:20:00,138,Male,53,Clothing,1,300,102,300
400,08-09-1928,09:52:00,2,Male,53,Clothing,4,50,24,200
611,12-05-1928,08:13:00,11,Male,51,Beauty,3,500,180,1500
800,14-01-1928,07:33:00,111,Male,32,Clothing,4,300,87,1200
1168,17-09-1927,07:56:00,68,Male,53,Clothing,1,300,150,300
1400,21-05-1927,11:54:00,115,Male,53,Clothing,4,50,20,200
1611,22-01-1927,07:30:00,125,Male,51,Beauty,3,500,180,1500
1800,25-09-1926,10:53:00,1,Male,32,Clothing,4,300,111,1200
272,29-05-1926,11:57:00,112,Female,61,Electronics,2,50,27.5,100
473,30-01-1926,10:09:00,1,Male,64,Beauty,1,50,14.5,50
506,03-10-1925,07:13:00,9,Male,34,Beauty,3,500,200,1500
766,06-06-1925,08:02:00,128,Male,38,Electronics,3,300,165,900
1272,07-02-1925,11:59:00,66,Female,61,Electronics,2,50,17,100
1473,11-10-1924,09:06:00,30,Male,64,Beauty,1,50,13,50
1506,14-06-1924,07:31:00,52,Male,34,Beauty,3,500,245,1500
1766,16-02-1924,06:08:00,6,Male,38,Electronics,3,300,129,900
135,20-10-1923,07:22:00,104,Male,20,Clothing,2,25,13,50
1135,23-06-1923,08:16:00,124,Male,20,Clothing,2,25,12.5,50
2,24-02-1923,10:07:00,104,Female,26,Clothing,2,500,135,1000
158,28-10-1922,11:38:00,141,Female,44,Electronics,2,300,132,600
185,01-07-1922,09:48:00,57,Male,24,Clothing,1,25,7,25
433,04-03-1922,08:48:00,144,Male,29,Beauty,4,50,20,200
1002,05-11-1921,09:24:00,69,Female,26,Clothing,2,500,270,1000
1158,09-07-1921,09:29:00,77,Female,44,Electronics,2,300,138,600
1185,12-03-1921,10:28:00,153,Male,24,Clothing,1,25,10.25,25
1433,13-11-1920,11:41:00,113,Male,29,Beauty,4,50,15.5,200
152,17-07-1920,11:58:00,120,Male,43,Electronics,4,500,210,2000
753,20-03-1920,10:07:00,70,Female,32,Clothing,1,30,15.9,30
763,22-11-1919,09:43:00,58,Male,34,Clothing,2,25,11.5,50
932,26-07-1919,08:33:00,120,Female,45,Beauty,4,25,7.75,100
1152,29-03-1919,07:48:00,87,Male,43,Electronics,4,500,170,2000
1753,30-11-1918,07:40:00,28,Female,32,Clothing,1,30,10.5,30
1763,03-08-1918,11:37:00,93,Male,34,Clothing,2,25,13.5,50
1932,06-04-1918,07:07:00,96,Female,45,Beauty,4,25,6.25,100
399,08-12-1917,09:25:00,136,Female,64,Beauty,2,30,12.9,60
500,11-08-1917,06:11:00,120,Female,60,Beauty,4,25,11.5,100
514,14-04-1917,08:35:00,139,Female,18,Electronics,1,300,96,300
1399,16-12-1916,09:32:00,15,Female,64,Beauty,2,30,16.2,60
1500,19-08-1916,08:36:00,53,Female,60,Beauty,4,25,8.5,100
1514,22-04-1916,10:55:00,59,Female,18,Electronics,1,300,75,300
947,25-12-1915,07:09:00,4,Male,50,Beauty,1,300,129,300
1947,28-08-1915,06:27:00,134,Male,50,Beauty,1,300,75,300
220,01-05-1915,06:44:00,138,Male,64,Beauty,1,500,140,500
339,02-01-1915,10:27:00,33,Female,22,Electronics,2,25,10.25,50
785,05-09-1914,06:09:00,88,Female,31,Beauty,4,50,13,200
885,09-05-1914,10:10:00,121,Female,52,Clothing,4,30,14.4,120
888,10-01-1914,06:03:00,63,Female,52,Electronics,4,25,12.75,100
1220,13-09-1913,11:16:00,47,Male,64,Beauty,1,500,240,500
1339,17-05-1913,10:34:00,132,Female,22,Electronics,2,25,7.5,50
1785,18-01-1913,11:17:00,144,Female,31,Beauty,4,50,17,200
1885,21-09-1912,07:32:00,148,Female,52,Clothing,4,30,10.8,120
1888,25-05-1912,08:10:00,49,Female,52,Electronics,4,25,12.5,100
621,27-01-1912,09:55:00,138,Female,40,Beauty,2,500,275,1000
1621,30-09-1911,10:49:00,2,Female,40,Beauty,2,500,160,1000
52,03-06-1911,09:42:00,55,Female,36,Beauty,1,300,111,300
536,04-02-1911,06:25:00,17,Female,55,Beauty,4,30,8.7,120
1052,08-10-1910,06:12:00,94,Female,36,Beauty,1,300,120,300
1536,11-06-1910,07:23:00,14,Female,55,Beauty,4,30,13.5,120
197,12-02-1910,11:57:00,14,Female,42,Clothing,4,50,25.5,200
750,16-10-1909,07:33:00,69,Female,35,Clothing,3,25,8.75,75
910,19-06-1909,06:29:00,138,Female,20,Beauty,3,50,22.5,150
917,20-02-1909,11:50:00,120,Female,57,Electronics,4,50,16.5,200
1197,24-10-1908,10:07:00,77,Female,42,Clothing,4,50,19,200
1750,27-06-1908,10:10:00,138,Female,35,Clothing,3,25,7.25,75
1910,29-02-1908,06:22:00,141,Female,20,Beauty,3,50,18,150
1917,02-11-1907,07:17:00,52,Female,57,Electronics,4,50,24,200
198,06-07-1907,11:42:00,30,Female,54,Beauty,3,300,114,900
444,09-03-1907,07:06:00,51,Female,61,Clothing,3,30,15.9,90
547,10-11-1906,07:36:00,3,Male,63,Clothing,4,500,250,2000
705,14-07-1906,07:28:00,37,Male,60,Electronics,2,25,6.25,50
1198,17-03-1906,10:43:00,147,Female,54,Beauty,3,300,159,900
1444,18-11-1905,06:18:00,135,Female,61,Clothing,3,30,14.1,90
1547,22-07-1905,06:39:00,142,Male,63,Clothing,4,500,235,2000
1705,25-03-1905,08:32:00,94,Male,60,Electronics,2,25,8.75,50
423,26-11-1904,06:06:00,41,Female,27,Clothing,1,25,11.75,25
1423,30-07-1904,07:56:00,131,Female,27,Clothing,1,25,11,25
248,02-04-1904,07:11:00,5,Male,26,Clothing,3,300,126,900
360,05-12-1903,09:04:00,26,Male,42,Clothing,4,25,10.5,100
377,08-08-1903,08:30:00,141,Female,46,Clothing,4,50,18,200
1248,11-04-1903,08:20:00,68,Male,26,Clothing,3,300,111,900
1360,13-12-1902,09:31:00,93,Male,42,Clothing,4,25,6.25,100
1377,16-08-1902,07:52:00,71,Female,46,Clothing,4,50,14,200
397,19-04-1902,08:06:00,59,Female,30,Beauty,1,25,10.5,25
623,21-12-1901,10:00:00,39,Male,34,Clothing,3,50,26,150
1397,24-08-1901,11:05:00,6,Female,30,Beauty,1,25,11.75,25
1623,27-04-1901,06:14:00,76,Male,34,Clothing,3,50,22,150
717,29-12-1900,08:15:00,8,Male,57,Clothing,1,500,190,500
1717,01-09-1900,09:40:00,21,Male,57,Clothing,1,500,175,500
130,05-05-1900,06:21:00,114,Female,57,Clothing,1,500,125,500
658,07-01-1900,07:47:00,93,Male,59,Clothing,1,25,6.5,25
1130,05-11-2022,09:03:00,28,Female,57,Clothing,1,500,180,500
1658,09-07-2022,06:08:00,148,Male,59,Clothing,1,25,12.25,25
